date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-05-17,17.3,18.29,17.93,17.18,60159.87,0.33,1.88,18.65,19.588,20.027,165068.53,227610.29,228022.98,1.51
2017-05-12,18.58,18.85,17.6,17.13,112832.21,-1.04,-5.58,19.196,19.906,20.098,262222.81,240776.55,238964.07,2.82
2017-05-05,19.2,19.76,18.64,18.5,110871.24,-0.81,-4.17,20.058,20.34,20.21,308804.25,252592.55,250126.94,2.77
2017-04-28,19.58,19.58,19.45,18.26,162823.72,-0.18,-0.92,20.266,20.669,20.202,316834.73,282123.52,265037.15,4.08
2017-04-21,20.67,21.78,19.63,19.21,378655.62,-1.03,-4.99,20.368,20.883,20.199,322932.8,312344.39,270238.93,9.48
2017-04-14,21.3,22.66,20.66,19.72,545931.25,-1.25,-5.71,20.526,20.965,20.271,290152.04,311074.34,272649.0,13.66
2017-04-07,19.73,22.36,21.91,19.73,345739.44,2.23,11.33,20.616,20.816,20.508,219330.29,257308.72,256694.37,8.65
2017-03-31,19.91,20.27,19.68,19.54,151023.64,-0.28,-1.4,20.622,20.544,20.668,196380.85,227309.64,264002.09,3.78
2017-03-24,20.4,20.62,19.96,19.28,193314.06,-0.46,-2.25,21.072,20.488,20.849,247412.31,225935.42,282829.07,4.84
2017-03-17,20.92,21.2,20.42,20.0,214751.83,-0.69,-3.27,21.398,20.488,21.046,301755.98,227409.14,301119.22,5.37
2017-03-10,22.13,22.2,21.11,20.84,191822.5,-0.83,-3.78,21.404,20.465,21.073,331996.64,228435.67,299384.11,4.8
2017-03-03,21.82,22.48,21.94,21.5,230992.2,0.01,0.05,21.016,20.289,21.105,295287.14,237151.58,306692.05,5.78
2017-02-24,21.46,22.82,21.93,20.73,406180.94,0.34,1.57,20.466,20.079,21.088,258238.44,247661.33,314301.49,10.17
2017-02-17,20.38,22.38,21.59,20.27,465032.41,1.14,5.58,19.904,19.734,21.051,204458.54,247950.78,311620.51,11.64
2017-02-10,19.35,21.2,20.45,19.35,365955.16,1.28,6.68,19.578,19.515,21.068,153062.31,228133.47,298617.69,9.16
2017-02-03,19.13,19.28,19.17,18.81,8275.0,-0.02,-0.1,19.526,19.577,21.199,124874.7,234223.65,319922.96,0.21
2017-01-26,19.11,19.44,19.19,19.01,45748.69,0.07,0.37,19.562,20.2,21.383,179016.02,256080.03,349964.76,1.14
2017-01-20,19.95,19.95,19.12,17.96,137281.42,-0.84,-4.21,19.692,20.792,21.511,237084.22,300694.54,361692.68,3.44
2017-01-13,20.38,20.83,19.96,19.75,208051.27,-0.23,-1.14,19.564,21.21,21.661,291443.02,339722.72,391402.31,5.21
2017-01-06,19.4,20.5,20.19,19.3,225017.12,0.84,4.34,19.452,21.603,21.73,303204.64,374829.3,402288.53,5.63
