,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,pred
52,2016-01-15,16.59,17.24,15.42,14.39,283445.16,-2.25,-12.73,20.65,21.694000000000003,19.616,278509.29,383144.33,392471.37,9.7,15.57
53,2016-01-08,22.8,22.84,17.67,16.3,223660.56,-5.31,-23.11,21.944000000000003,22.385,19.668,292128.31,400377.64,401469.32,7.66,15.42
54,2015-12-31,23.2,23.4,22.98,21.3,238968.39,-0.21,-0.91,22.7,22.679000000000002,19.802,309484.13,428910.49,421920.94,8.18,17.67
55,2015-12-25,24.2,24.8,23.19,22.82,312831.84,-0.8,-3.33,22.338,22.624000000000002,19.750999999999998,335211.08,465142.63,441861.8,10.71,22.98
56,2015-12-18,21.61,24.66,23.99,21.5,333640.5,2.1,9.59,22.546,22.345,19.49,402707.26,502223.4,446910.96,11.42,23.19
57,2015-12-11,21.45,23.36,21.89,21.0,351540.28,0.44,2.05,22.738000000000003,21.565,19.166,487779.36,481269.22,453539.82,12.03,23.99
58,2015-12-04,21.18,22.0,21.45,19.29,310439.66,0.28,1.32,22.826,20.943,19.221,508626.97,466637.89,465976.31,10.63,21.89
59,2015-11-27,24.55,24.61,21.17,21.17,367603.12,-3.06,-12.63,22.658,20.327,19.205,548336.84,471268.32,487952.51,12.58,21.45
60,2015-11-20,24.51,27.69,24.23,23.01,650312.75,-0.72,-2.89,22.91,19.612000000000002,19.427,595074.17,479323.18,477781.34,22.26,21.17
61,2015-11-13,22.04,26.35,24.95,22.04,759001.0,2.62,11.73,22.144000000000002,18.796,19.379,601739.54,454795.58,468624.38,25.98,24.23
62,2015-11-06,20.35,23.15,22.33,19.86,455778.34,1.72,8.35,20.392,17.537,19.396,474759.07,401798.41,453049.97,15.6,24.95
63,2015-10-30,23.32,23.46,20.61,20.2,508988.97,-1.82,-8.11,19.06,16.95,19.683,424648.81,402560.99,460561.24,17.42,22.33
64,2015-10-23,20.55,22.43,22.43,18.23,601289.81,2.03,9.95,17.996,16.925,20.413,394199.8,414931.4,484423.86,20.58,20.61
65,2015-10-16,16.2,21.0,20.4,16.01,683639.56,4.21,26.0,16.314,16.877,20.701,363572.19,418580.98,482287.51,23.4,22.43
66,2015-10-09,16.03,16.5,16.19,15.75,124098.68,0.52,3.32,15.448,16.635,20.971,307851.62,391598.52,501149.64,4.25,20.4
67,2015-09-30,14.95,16.0,15.67,14.3,205227.05,0.38,2.48,14.682,16.767,21.638,328837.74,425810.43,554766.14,7.02,16.19
68,2015-09-25,13.9,15.95,15.29,13.73,356743.88,1.27,9.06,14.84,17.499000000000002,21.969,380473.18,465314.72,579991.89,12.21,15.67
69,2015-09-18,16.62,16.64,14.02,13.1,448151.78,-2.05,-12.76,15.854000000000001,18.082,22.204,435663.0,504636.71,592514.98,15.34,15.29
70,2015-09-11,12.92,16.07,16.07,12.63,405036.69,3.71,30.02,17.44,19.241,22.628,473589.77,476239.49,606274.23,13.86,14.02
71,2015-09-02,16.13,16.2,12.36,12.3,229029.31,-4.1,-24.91,17.822,19.961,22.899,475345.42,482453.18,636588.38,7.84,16.07
72,2015-08-28,20.0,20.4,16.46,14.0,463404.22,-3.9,-19.16,18.852,21.254,23.384,522783.12,504301.53,708059.71,15.86,12.36
73,2015-08-21,21.67,22.67,20.36,18.14,632693.0,-1.59,-7.24,20.158,22.415,23.533,550156.26,518561.49,729603.97,21.66,16.46
74,2015-08-14,18.22,22.83,21.95,18.22,637785.62,3.97,22.08,20.31,23.9,23.348000000000003,573610.42,553916.31,729042.91,21.83,20.36
75,2015-08-07,17.39,18.36,17.98,15.77,413814.94,0.47,2.68,21.041999999999998,24.524,23.039,478889.22,545994.03,740060.34,14.16,21.95
76,2015-07-31,22.3,23.65,17.51,17.02,466217.81,-5.48,-23.84,22.1,25.305999999999997,22.906999999999996,489560.94,610700.76,763316.26,15.96,17.98
77,2015-07-24,21.1,24.55,22.99,20.1,600269.94,1.87,8.85,23.656,26.509,22.755,485819.94,683721.86,780705.38,20.55,17.51
78,2015-07-17,25.63,27.9,21.12,19.89,749963.81,-4.49,-17.53,24.671999999999997,26.438000000000002,22.319000000000003,486966.72,694669.05,795819.22,25.67,22.99
79,2015-07-10,22.2,25.61,25.61,22.1,164179.59,2.34,10.06,27.49,26.326,21.873,534222.2,680393.25,765473.46,5.62,21.12
80,2015-07-01,26.5,26.98,23.27,21.44,467173.56,-2.02,-7.99,28.006,26.014,21.204,613098.85,736308.97,762396.07,15.99,25.61
81,2015-06-26,26.8,28.8,25.29,24.27,447512.81,-2.78,-9.9,28.511999999999997,25.837,20.645,731840.59,790723.58,749108.33,15.32,23.27
82,2015-06-19,34.99,34.99,28.07,28.07,606003.81,-7.14,-20.28,29.362,25.514,19.969,881623.77,911817.89,738942.34,20.74,25.29
83,2015-06-12,28.4,36.35,35.21,28.4,986241.25,7.02,24.9,28.204,24.65,19.169,902371.39,940646.45,746033.85,33.76,28.07
84,2015-06-05,25.86,28.59,28.19,25.0,558562.81,2.39,9.26,25.162,22.795,18.033,826564.3,904169.51,730742.48,19.12,35.21
85,2015-05-29,29.3,30.3,25.8,23.7,1060882.25,-3.74,-12.66,24.022,21.553,17.191,859519.09,934126.65,712740.82,36.31,28.19
86,2015-05-22,22.28,30.99,29.54,22.08,1196428.75,7.26,32.59,23.162,20.506999999999998,16.462,849606.58,915931.76,682629.76,40.95,25.8
87,2015-05-15,20.31,22.59,22.28,20.15,709741.88,2.28,11.4,21.666,19.0,15.540999999999999,942012.0,877688.91,631242.75,24.29,29.54
88,2015-05-08,22.2,22.55,20.0,18.59,607205.81,-2.49,-11.07,21.096,18.2,15.001,978921.5,896969.4,623482.69,20.78,22.28
89,2015-04-30,22.56,23.65,22.49,21.02,723336.75,0.99,4.61,20.428,17.42,14.61,981774.72,850553.68,663217.47,24.76,20.0
90,2015-04-24,21.7,22.78,21.5,20.24,1011319.69,-0.56,-2.54,19.084,16.393,14.099,1008734.2,788483.17,670535.16,34.62,22.49
91,2015-04-17,19.6,25.56,22.06,19.5,1658455.88,2.63,13.54,17.852,15.452,13.42,982256.95,707493.07,626157.15,56.77,21.5
92,2015-04-10,16.54,19.89,19.43,16.5,894289.38,2.77,16.63,16.334,14.424000000000001,12.713,813365.82,566066.79,559959.98,30.61,22.06
93,2015-04-03,15.99,16.88,16.66,15.99,621471.88,0.89,5.64,15.304,13.687000000000001,12.19,815017.29,551421.26,536518.41,21.27,19.43
94,2015-03-27,15.34,16.16,15.77,14.9,858134.19,0.43,2.8,14.412,13.270999999999999,11.835,719332.64,557315.45,528653.07,29.37,16.66
95,2015-03-20,14.52,15.66,15.34,14.51,878933.44,0.87,6.01,13.702,12.828,11.481,568232.14,491354.99,519318.5,30.09,15.77
96,2015-03-13,14.14,15.08,14.47,13.8,814000.19,0.19,1.33,13.052,12.417,11.192,432729.19,449327.76,536751.35,27.86,15.34
97,2015-03-06,12.25,14.48,14.28,12.2,902546.75,2.08,17.05,12.514000000000001,12.082,10.885,318767.76,384796.59,515810.87,30.89,14.47
98,2015-02-27,12.22,12.36,12.2,12.0,143048.61,-0.02,-0.16,12.07,11.802,10.558,287825.23,349995.98,487588.96,4.9,14.28
99,2015-02-17,12.09,12.25,12.22,12.05,102631.72,0.13,1.07,12.13,11.8,10.35,395298.26,475881.27,525869.1,3.51,12.2
